视频类型,版本,方法,阶段,任务,复杂度,seed,指令,活动物体,结果,目标距离,末端到物体距离,物体高度,抓取标志,帧数,fps,时长,视频文件,元数据文件,证据用途,论文红线
候选诊断片段,gripper_timing_contact_probe_v1_candidate,gripper_timing_contact_probe,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0122,-,0.0249,False,293,24,12.2s,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.mp4,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_v1,clip_semantic_waypoint,extra_video_evidence,place_blue_cube_red_pad,medium,700,put the azure block on the red disk,"blue_cube, green_cube, blue_cylinder",success=False,0.1051,-,-,False,357,30,11.9s,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.mp4,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.json,失败模式样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost,clip_semantic_waypoint,extra_video_evidence,move_leftmost_cube_to_bowl,hard,1900,move the leftmost cube to the bowl,"red_cube, blue_cube, green_cube, yellow_cube, green_ball, red_cylinder, blue_cylinder",success=True,0.0071,-,-,False,357,30,11.9s,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.mp4,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
补充片段,object_language_action_head_lite_v1_success_example,object_action_head,extra_video_evidence,place_blue_cube_blue_pad,medium,1,place the blue cube on the blue pad,"blue_cube, blue_cylinder, red_cube",success=True,0.0432,0.2840,0.0249,False,238,24,9.9s,outputs/videos/object_language_action_head_lite_v1_seed1_success_example.mp4,outputs/videos/object_language_action_head_lite_v1_seed1_success_example.json,成功样例,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,phase_weighted_torch_act_v1_candidate,phase_weighted_torch_act,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0956,0.2403,0.0249,False,238,24,9.9s,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,preference_contact_aware_trajectory_post_training_v1_candidate,preference_trajectory_post_training,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0112,0.1779,0.0249,False,238,24,9.9s,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,preference_ranked_trajectory_post_training_v1_candidate,preference_trajectory_post_training,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0115,0.1816,0.0249,False,152,24,6.3s,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,preference_trajectory_post_training_v1_candidate,preference_trajectory_post_training,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0117,0.1775,0.0249,False,238,24,9.9s,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,preference_trajectory_post_training_v1_ranked_fast_candidate,preference_trajectory_post_training,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0102,0.1781,0.0249,False,238,24,9.9s,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,preference_trajectory_post_training_v1_ranked_objective_candidate,preference_trajectory_post_training,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.3346,0.3369,0.0249,False,238,24,9.9s,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,preference_trajectory_post_training_v1_tcp_lift_rank_candidate,preference_trajectory_post_training,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0112,0.1779,0.0249,False,238,24,9.9s,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,timing_aware_trajectory_prior_residual_bc_v1_candidate,timing_aware_trajectory_prior_residual_bc,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0126,-,0.0249,False,293,24,12.2s,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,trajectory_phase_template_bc_v1_candidate,trajectory_phase_template_bc,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,1,place the blue cube on the blue pad,"blue_cube, blue_cylinder, red_cube",success=True,0.0113,0.1763,0.0249,False,238,24,9.9s,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
候选诊断片段,trajectory_prior_residual_bc_v1_candidate,trajectory_prior_residual_bc,candidate_method_diagnosis,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0113,-,0.0249,False,238,24,9.9s,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.json,候选方法诊断证据,仅作定性视频证据，量化结论以 CSV 评测表为准
