顺序,分组,cue_id,标题,媒体类型,媒体文件,建议起点秒,建议终点秒,时长秒,打开命令,备用viewer命令,讲解提示,证据引用,论文红线
24,候选诊断负例播放顺序,grasp_gated_torch_act_state_chunk_v1_candidate,抓取门控 Torch ACT state chunk 候选,video,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4""","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --close-phase 0.22 --release-phase 0.78 --near-threshold 0.11 --release-distance 0.095 --open-gripper 0.037 --close-gripper 0.015 --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900.0 --gripper-force 180.0 --friction 3.0 --stop-on-unsafe --log-every 500",该 seed 放置失败，且 grasp_success=False、ever_grasp_success=False；保守门控没有解决 ACT 接触保持和抬升失败。,docs/grasp_gated_trajectory_act_report.md；outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.json,只能作为 Torch ACT 控制层诊断负例，不能写成 ACT 已稳定抓取。
25,候选诊断负例播放顺序,phase_weighted_torch_act_v1_candidate,阶段加权 Torch ACT 候选,video,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\phase_weighted_torch_act_v1_candidate_seed0.mp4""","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\phase_weighted_torch_act_v1_candidate_20260720_225108.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.02 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",该 seed 放置失败，grasp_success=False、ever_grasp_success=False；阶段加权降低离线误差，但没有形成稳定接触、夹紧和抬升。,docs/phase_weighted_torch_act_report.md；outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.json,只能作为阶段加权 ACT 训练诊断负例，不能写成完整 ACT 或稳定抓取成功。
26,候选诊断负例播放顺序,contact_phase_gated_torch_act_v1_candidate,接触/阶段门控 Torch ACT 候选,video,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_phase_gated_torch_act_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\contact_phase_gated_torch_act_v1_candidate_20260721_003304.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900 --gripper-force 180 --friction 3.0 --stop-on-unsafe --log-every 500",该 seed 放置失败，tcp_grasp_lift_success=False，strict_grasp_lift_success=False；5+5 评测显示放置 0/10，仅 held-out seed101 出现一次 TCP 抬升诊断，说明 phase-one-hot、grasp/lift 加权和 grasp gate 仍不能稳定解决 ACT 接触保持。,docs/contact_phase_gated_torch_act_report.md；outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.json,只能作为 Torch ACT-style 接触/阶段诊断负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果。
27,候选诊断负例播放顺序,contact_aware_phase_gated_torch_act_v1_candidate,相对几何 + 阶段门控 Torch ACT 候选,video,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\contact_aware_phase_gated_torch_act_v1_candidate_20260721_004944.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900 --gripper-force 180 --friction 3.0 --stop-on-unsafe --log-every 500",seed0 放置失败，tcp_grasp_lift_success=False，strict_grasp_lift_success=False；10 次评测为放置 0/10、TCP 抓取抬升 0/10、标准 ever_grasp_success 0/10。相对几何特征降低了离线误差，但没有转化成闭环抓取能力。,docs/contact_aware_phase_gated_torch_act_report.md；outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.json,只能写成 trajectory-conditioned / ACT-style 相对几何消融负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果。
28,候选诊断负例播放顺序,grasp_lift_subpolicy_probe_v1_candidate,scripted expert / IK 抓取抬升上界诊断,video,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_expert.py"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --min-success-rate 0 --viewer --duration 60 --speed 0.02 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --approach-z 0.12 --grasp-z 0.008 --lift-z 0.18 --retries 2",该 seed 放置成功，grasp_success=False，但 max_object_z 达标且 tcp_grasp_lift_success=True；说明环境与控制上界可完成抓放流程，同时标准 grasp 指标仍需单独报告。,docs/grasp_lift_subpolicy_probe_report.md；outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.json,只能作为 scripted expert / IK 控制上界和指标口径诊断，不能写成 learned BC/ACT/VLA baseline 成功，也不能替代真实 WidowX 验证。
29,候选诊断负例播放顺序,contact_stage_subpolicy_v1_candidate,分阶段 contact-stage scripted subpolicy 上界诊断,video,outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_stage_subpolicy_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_contact_stage_subpolicy.py"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --viewer --duration 60 --speed 0.05 --arm-kp 150 --arm-force 100 --gripper-kp 900 --gripper-force 180 --friction 3.0 --retries 2 --log-every 500",seed0 放置成功，tcp_grasp_lift_success=True，stage trace 记录 approach/descend/close/lift/transfer/place/release/retreat/hold；10 次评测 train-range 5/5、held-out 5/5，但标准 strict_grasp_lift_success=0/10。,docs/contact_stage_subpolicy_report.md；outputs/videos/contact_stage_subpolicy_v1_candidate_seed0.json,只能写成 scripted subpolicy / contact-stage 上界诊断，不能写成 BC、ACT、Diffusion Policy、VLA 或真实 WidowX 学习策略成功。
30,候选诊断负例播放顺序,contact_stage_demo_torch_act_v1_candidate,Contact-stage 成功示范训练的 Torch ACT 候选,video,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_stage_demo_torch_act_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\contact_stage_demo_torch_act_v1_candidate_20260721_014152.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900 --gripper-force 180 --friction 3.0 --stop-on-unsafe --log-every 500",seed0 放置失败，grasp_success=False，max_object_z=0.0447；10 次评测 train-range 0/5、held-out 0/5、tcp_grasp_lift_success=0/10、strict_grasp_lift_success=0/10。说明即使用 contact-stage 成功示范，当前 state-only ACT-style 仍未学出稳定接触控制。,docs/contact_stage_demo_torch_act_report.md；outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.json,只能写成更干净 scripted 示范训练 ACT 的候选诊断，不能写成完整官方 ACT、稳定抓取或 VLA 后训练成功。
31,候选诊断负例播放顺序,grasp_gated_trajectory_knn_v1_candidate,夹爪门控 trajectory-kNN 候选,video,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\grasp_gated_trajectory_knn_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_grasp_gated_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --arm-kp 150 --arm-force 100 --gripper-kp 900 --gripper-force 180 --friction 3.0 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",该 seed 的放置指标成功，但 grasp_success=False；门控确实闭合过夹爪，却没有形成抬升抓取。,docs/grasp_gated_trajectory_knn_report.md；outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.json,只能作为夹爪门控消融负例，不能写成 trajectory-kNN 已解决真实 grasp。
32,候选诊断负例播放顺序,contact_stage_phase_action_head_v1_candidate,Contact-stage 成功示范训练的 phase action-head 候选,video,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_stage_phase_action_head_v1_candidate_seed101.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_phase_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\phase_action_head\contact_stage_phase_action_head_v1_candidate_20260721_020941.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 101 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --phase-mode progress --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --gripper-kp 900 --gripper-force 180 --friction 3.0 --stop-on-unsafe --log-every 500",seed101 原始放置 success=True，但 grasp_success=False、tcp_grasp_lift_success=False、strict_grasp_lift_success=False；10 次评测 train-range 放置 0/5、held-out 放置 1/5、TCP 抬升 0/10、严格抓取 0/10。说明显式阶段 action-head 可偶然把目标距离推近，但仍没有学会稳定抓取/抬升。,docs/contact_stage_phase_action_head_report.md；outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.json,只能写成 contact-stage 成功示范训练的轻量 phase action-head 候选诊断，不能写成稳定抓取、真实 VLA 后训练、OpenVLA LoRA 或完整 ACT 成功。
33,候选诊断负例播放顺序,contact_hold_weighted_torch_act_v1_candidate,Contact-stage 成功示范 + 接触保持加权 Torch ACT 候选,video,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_hold_weighted_torch_act_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\contact_hold_weighted_torch_act_v1_candidate_20260721_023759.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900 --gripper-force 180 --friction 3.0 --stop-on-unsafe --log-every 500",seed0 放置失败，grasp_success=False、strict_grasp_lift_success=False，但 tcp_grasp_lift_success=True、max_object_z=0.0882；10 次评测 train-range 放置 0/5、held-out 放置 0/5。说明接触保持加权带来一次局部 TCP 抬升迹象，但仍没有形成稳定抓取和放置。,docs/contact_hold_weighted_torch_act_report.md；outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.json,只能写成 contact-hold loss 加权的 ACT 候选诊断，不能写成完整官方 ACT、稳定抓取、稳定 learned grasp、真实 VLA 后训练或真实 WidowX 成功。
34,候选诊断负例播放顺序,contact_aware_trajectory_knn_v1_candidate,相对几何增强 / contact-aware trajectory-kNN 候选,video,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\contact_aware_trajectory_knn_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\contact_aware_trajectory_knn_20260720_233445.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",该 seed 放置成功且 tcp_grasp_lift_success=True，但标准 grasp_success=False；5+5 评测显示 train-range 5/5、held-out 1/5，说明相对几何增强改善训练范围复现，尚未解决留出泛化和稳定抓取。,docs/contact_aware_trajectory_knn_report.md；outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.json,只能作为相对几何特征消融候选，不能写成可靠 learned grasp、完整 ACT 或真实 VLA 后训练成功。
35,候选诊断负例播放顺序,gripper_timing_contact_probe_v1_candidate,夹爪闭合时序 / 接触保持 scripted diagnostic probe,video,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.mp4,0.0,12.2,12.2,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\gripper_timing_contact_probe_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_gripper_timing_probe.py"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --variant tight_close_hold --viewer --duration 60 --speed 0.05 --gripper-kp 900 --gripper-force 180 --friction 3.0 --log-every 500",tight_close_hold 固定视频 success=True、tcp_grasp_lift_success=True、max_object_z=0.1727，但 ever_standard_grasp_success=False、strict_grasp_lift_success=False；说明闭合后保持能维持 TCP 抬升和放置，但标准严格抓取口径仍未触发。,docs/gripper_timing_contact_probe_report.md；outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.json,只能作为 contact/gripper timing 候选诊断，不能写成 learned BC、ACT、Diffusion Policy、VLA、OpenVLA 后训练或真实 WidowX 成功。
36,候选诊断负例播放顺序,preference_contact_aware_trajectory_post_training_v1_candidate,偏好加权 + 相对几何 trajectory-conditioned BC 后训练候选,video,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,0.0,9.9,9.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_contact_aware_trajectory_post_training_20260721_000449.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",该 seed 放置成功且 tcp_grasp_lift_success=True，但标准 grasp_success=False；5+5 评测显示 train-range 5/5、held-out 1/5，held-out tcp_grasp_lift_success=0/5，说明偏好权重和相对几何组合仍主要记忆训练分布，不能证明稳定抓取泛化。,docs/preference_contact_aware_trajectory_post_training_report.md；outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.json,只能作为 trajectory-level preference weighting 与 relative-geometry 特征叠加的本地诊断候选，不能写成在线 RL、真实人类偏好优化、完整 ACT、OpenVLA/OFT 或真实 WidowX 结果。
37,候选诊断负例播放顺序,preference_ranked_trajectory_post_training_v1_candidate,episode 内排序偏好 + 相对几何 trajectory-kNN 后训练候选,video,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4,0.0,6.3,6.3,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4""","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_ranked_trajectory_post_training_20260721_031024.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 1800 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.2 --action-alpha 0.22 --max-arm-delta 0.010 --max-gripper-delta 0.00045 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500",快速 2+2 诊断中 train-range 放置 2/2、held-out 放置 1/2；seed0 固定视频 success=True、tcp_grasp_lift_success=True、max_object_z=0.1732，但标准 grasp_success=False、strict_grasp_lift_success=False，说明排序偏好能复现目标距离和局部抬升迹象，仍不能证明稳定抓取。,docs/preference_ranked_trajectory_post_training_report.md；outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.json,只能写成 ranked preference trajectory 后训练候选诊断；不能写成在线 RL、真实人类偏好优化、完整 ACT、OpenVLA/Robot VLA 后训练或真实 WidowX 成功。
