版本,方法,阶段,视频类型,任务,seed,结果,失败模式,证据用途,目标距离,末端到物体距离,物体高度,抓取标志,视频文件,元数据文件,论文可写,论文红线
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,grasp_gated_trajectory_chunk_bc,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0562,0.0816,0.0355,False,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
grasp_gated_trajectory_knn_v1_candidate,grasp_gated_trajectory_knn,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0175,0.1914,0.0249,False,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_knn_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
grasp_lift_subpolicy_probe_v1_candidate,grasp_lift_subpolicy_probe,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0056,-,0.0249,False,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.mp4,outputs/videos/grasp_lift_subpolicy_probe_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
gripper_timing_contact_probe_v1_candidate,gripper_timing_contact_probe,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0122,-,0.0249,False,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.mp4,outputs/videos/gripper_timing_contact_probe_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_v1,clip_semantic_waypoint,extra_video_evidence,补充片段,place_blue_cube_red_pad,700,success=False,目标选择/放置偏差,失败模式样例,0.1051,-,-,False,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.mp4,outputs/videos/kaggle_clip_semantic_adapter_core_v2_ood_paraphrase_blue_to_red_seed700.json,可写作策略产生了明显目标偏差，物体没有被放到目标区域，适合支撑放置精度和任务条件化不足的分析。,仅作定性视频证据，量化结论以 CSV 评测表为准
kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost,clip_semantic_waypoint,extra_video_evidence,补充片段,move_leftmost_cube_to_bowl,1900,success=True,成功样例,成功样例,0.0071,-,-,False,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.mp4,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
object_language_action_head_lite_v1_success_example,object_action_head,extra_video_evidence,补充片段,place_blue_cube_blue_pad,1,success=True,成功样例,成功样例,0.0432,0.2840,0.0249,False,outputs/videos/object_language_action_head_lite_v1_seed1_success_example.mp4,outputs/videos/object_language_action_head_lite_v1_seed1_success_example.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
phase_weighted_torch_act_v1_candidate,phase_weighted_torch_act,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.0956,0.2403,0.0249,False,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
preference_contact_aware_trajectory_post_training_v1_candidate,preference_trajectory_post_training,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0112,0.1779,0.0249,False,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_contact_aware_trajectory_post_training_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
preference_ranked_trajectory_post_training_v1_candidate,preference_trajectory_post_training,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0115,0.1816,0.0249,False,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_ranked_trajectory_post_training_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
preference_trajectory_post_training_v1_candidate,preference_trajectory_post_training,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0117,0.1775,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
preference_trajectory_post_training_v1_ranked_fast_candidate,preference_trajectory_post_training,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0102,0.1781,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
preference_trajectory_post_training_v1_ranked_objective_candidate,preference_trajectory_post_training,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,候选方法诊断证据,0.3346,0.3369,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,仅作定性视频证据，量化结论以 CSV 评测表为准
preference_trajectory_post_training_v1_tcp_lift_rank_candidate,preference_trajectory_post_training,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0112,0.1779,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
timing_aware_trajectory_prior_residual_bc_v1_candidate,timing_aware_trajectory_prior_residual_bc,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0126,-,0.0249,False,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
trajectory_phase_template_bc_v1_candidate,trajectory_phase_template_bc,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,1,success=True,成功样例,候选方法诊断证据,0.0113,0.1763,0.0249,False,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
trajectory_prior_residual_bc_v1_candidate,trajectory_prior_residual_bc,candidate_method_diagnosis,候选诊断片段,place_blue_cube_blue_pad,0,success=True,成功样例,候选方法诊断证据,0.0113,-,0.0249,False,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,仅作定性视频证据，量化结论以 CSV 评测表为准
